Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Spanish Language Teacher Education,55100.0,89900.0
Technical & Scientific Communication,57000.0,89800.0
Broadcast & Cinematic Arts,48000.0,89700.0
Computer Animation,52800.0,89600.0
Geography,56200.0,89600.0
Environmental Resource Management,54100.0,89500.0
Fashion,54900.0,89500.0
Film Studies,51000.0,89500.0
Forestry,52800.0,89500.0
Business Leadership,56800.0,89300.0
Nursing Education,76300.0,89300.0
English Language,50900.0,89100.0
Ancient History,51700.0,89000.0
Botany,48700.0,89000.0
Geosciences,55100.0,89000.0
Computer Aided Design (CAD),54700.0,88900.0
Digital Arts,50800.0,88900.0
Leadership,53700.0,88700.0
Automotive Technology & Service Management,59300.0,88600.0
Business Management & Administration,58500.0,88600.0
Business Management & Human Resources Management (HRM),54600.0,88600.0
Human Resources Management (HRM),54300.0,88600.0
Radio/Television & Film Production,51200.0,88600.0
Allied Health,49900.0,88500.0
English Language & Literature,52200.0,88500.0
Marine Biology,48500.0,88400.0
Security Management,53900.0,88400.0
Organizational Leadership,56600.0,88300.0
Public Administration,53000.0,88300.0
Forestry Management,54600.0,88200.0
Management (MGT),52300.0,88200.0
Merchandising Management,53500.0,88100.0
Administrative Management,59100.0,88000.0
Spanish Language,54300.0,88000.0
Sports Management,51200.0,88000.0
Arts Management,45200.0,87900.0
Homeland Security,55300.0,87900.0
Electronic Media,50700.0,87900.0
3D Animation,56900.0,87800.0
Film Production,50500.0,87800.0
Marine Science,51800.0,87600.0
Information & Communication Technology,53700.0,87500.0
Mass Communication,50700.0,87500.0
Museum Studies,42800.0,87500.0
Technical Writing,63300.0,87500.0
Religious Studies,50700.0,87400.0
Travel Industry Management,58700.0,87400.0
Art History,53400.0,87200.0
Fashion Merchandising,53300.0,87200.0
Nuclear Medicine Technology,68800.0,87200.0
Marketing & Advertising,55400.0,87100.0
Musicology,48100.0,87000.0
Broadcast Journalism,49800.0,86800.0
Animation,50900.0,86700.0
Historic Preservation,48300.0,86600.0
Music Performance,51700.0,86600.0
Organizational Leadership & Supervision,54600.0,86600.0
Multimedia,50400.0,86500.0
Business Technology,59200.0,86400.0
Radiologic Science,64000.0,86400.0
Human Nutrition,55100.0,86400.0
Acting,50400.0,86400.0
